freq,W1,W2,W3,W4,W5,W6,W7,W8,L1,L2,L3,L4,S11r,S11i,S21r,S21i,S31r,S31i,S41r,S41i
2.6,3.0,3.0,2.7,4.6,3.1,3.2,2.6,3.3,71.5,59.7,20.7,32.2,-0.57,0.342,0.498,0.198,-0.383,-0.062,0.317,-0.041
2.6,3.4,3.4,2.5,1.0,4.4,2.3,4.0,3.3,32.5,87.7,48.2,35.4,-0.208,0.235,-0.362,-0.02,0.632,-0.099,-0.564,0.13
2.6,4.7,4.6,1.9,2.8,1.9,1.9,2.0,1.8,63.4,21.5,85.1,49.7,-0.363,-0.018,-0.59,-0.218,-0.538,0.261,0.265,-0.154
2.6,1.9,4.6,1.4,4.8,1.2,2.0,2.8,1.1,66.8,28.9,63.2,58.3,-0.253,0.221,-0.568,0.252,-0.389,-0.301,0.443,-0.204
2.6,2.7,1.0,2.9,1.3,1.5,3.5,3.1,2.2,78.1,60.6,26.3,55.9,0.015,-0.038,0.162,-0.125,0.283,-0.087,0.482,-0.775
2.6,1.0,3.2,2.0,2.7,4.9,2.7,2.7,2.5,83.7,92.8,80.7,57.4,-0.317,0.333,-0.167,-0.568,-0.032,-0.19,-0.248,-0.55
2.6,4.5,4.4,2.2,1.4,4.6,2.5,1.3,4.0,48.3,17.4,99.0,22.3,-0.406,0.408,-0.445,-0.59,0.143,-0.014,0.144,0.261
2.6,1.1,3.2,4.3,3.8,4.0,3.2,1.6,3.9,9.7,21.0,33.5,69.9,0.148,0.746,-0.367,0.12,0.059,-0.313,-0.068,-0.382
2.6,4.5,3.4,4.1,2.2,1.4,3.6,2.1,1.8,40.1,40.8,16.8,91.5,-0.408,0.373,-0.077,0.343,0.523,0.354,-0.273,0.287
2.6,4.7,4.1,2.1,1.3,1.2,5.0,4.7,4.6,71.7,59.1,56.3,17.0,-0.247,0.07,0.462,0.122,-0.107,0.28,0.675,-0.368
2.6,3.1,4.4,1.4,1.5,4.6,1.8,2.4,1.3,62.5,31.2,94.5,7.3,-0.298,0.313,-0.595,0.179,0.369,0.182,0.449,0.196
2.6,1.0,3.7,1.4,4.5,1.2,3.9,3.3,3.8,5.0,95.1,80.5,59.2,-0.317,0.393,-0.216,-0.252,-0.204,0.049,-0.165,-0.737
2.6,1.3,4.0,2.3,2.2,3.0,4.6,4.7,2.5,80.5,24.8,25.2,75.5,0.244,0.72,-0.484,-0.013,-0.222,-0.197,0.127,-0.145
2.6,3.8,3.2,4.4,4.7,4.4,4.8,4.7,4.2,63.6,51.5,96.1,44.3,-0.333,0.376,0.556,0.203,-0.131,0.056,0.527,0.274
2.6,4.3,4.9,3.4,4.1,3.2,2.0,3.9,2.1,81.1,43.8,16.2,71.5,-0.028,0.053,-0.412,0.678,0.175,-0.362,0.205,-0.339
2.6,5.0,4.6,3.0,1.0,4.8,3.5,1.4,5.0,55.8,72.0,71.4,32.7,-0.747,-0.112,0.143,-0.569,0.136,-0.14,-0.094,0.079
2.6,4.0,2.9,3.8,3.5,2.0,4.8,1.6,3.2,84.7,44.1,17.4,31.0,-0.499,0.397,-0.026,0.471,0.058,0.301,-0.23,-0.457
2.6,3.5,3.2,2.5,3.4,2.2,3.5,2.3,2.7,92.8,73.7,74.9,91.4,-0.584,0.404,0.19,-0.203,0.21,-0.175,-0.346,-0.443
2.6,4.1,4.1,1.1,1.8,2.9,1.9,1.5,4.4,28.6,5.0,8.6,82.8,-0.289,0.177,0.3,-0.466,-0.44,-0.169,-0.572,-0.134
2.6,4.4,4.9,1.8,1.7,3.2,1.9,2.4,2.1,39.3,26.3,17.3,48.7,-0.244,0.455,-0.633,-0.086,-0.273,-0.155,-0.411,0.2
2.6,2.1,3.3,1.9,4.8,4.9,2.2,4.8,1.9,78.9,65.2,23.7,69.4,-0.596,0.301,0.166,0.024,-0.144,-0.456,-0.056,-0.518
2.6,2.9,4.7,3.0,1.3,1.1,1.5,2.7,4.8,18.6,28.5,51.4,46.4,-0.334,-0.039,-0.571,0.406,0.282,-0.389,-0.203,-0.325
2.6,2.3,2.1,2.3,1.8,3.7,3.4,3.4,4.9,81.9,14.3,4.7,9.7,-0.113,0.602,-0.326,-0.37,-0.348,-0.365,0.12,-0.309
2.6,2.0,2.7,2.7,2.0,2.3,4.8,4.3,3.5,13.7,67.2,15.7,63.2,-0.553,0.202,0.348,-0.098,-0.156,-0.535,-0.191,-0.396
2.6,3.0,4.9,1.5,2.4,1.2,4.7,3.2,1.3,53.1,94.0,14.3,29.4,-0.412,0.346,-0.428,-0.37,-0.234,0.139,0.512,0.179
2.6,1.7,4.4,1.4,2.0,1.1,4.9,1.6,1.9,74.4,29.9,40.1,10.5,-0.483,0.266,-0.357,0.19,0.368,-0.414,0.274,-0.366
2.6,3.2,3.2,2.1,2.8,4.3,1.1,1.4,4.1,14.7,9.6,41.8,66.3,0.548,0.305,0.432,-0.434,0.362,0.048,-0.123,0.197
2.6,4.8,4.1,2.0,4.3,1.6,4.1,3.3,3.6,53.2,51.2,30.4,25.7,-0.303,0.087,0.295,0.481,-0.109,-0.555,0.175,0.464
2.6,4.1,1.3,4.1,2.3,3.7,1.4,3.9,1.4,82.1,45.6,19.5,89.2,-0.426,0.06,0.089,0.556,-0.099,-0.006,-0.043,-0.679
2.6,3.8,3.6,4.3,3.6,4.5,2.7,2.3,1.8,18.9,24.9,28.4,22.0,-0.615,0.155,-0.29,-0.024,0.296,0.425,-0.342,-0.345
2.6,3.3,4.2,1.4,4.7,2.2,4.9,4.9,4.7,45.1,88.1,76.9,23.9,-0.349,0.26,-0.082,-0.379,-0.144,-0.258,0.098,0.735
2.6,1.0,3.5,1.5,1.5,4.5,1.5,2.8,3.4,12.4,56.0,6.7,85.4,-0.414,0.092,0.319,0.515,0.075,-0.143,-0.196,-0.603
2.6,4.1,3.0,3.9,1.1,3.3,3.7,4.6,2.1,96.8,54.0,56.3,88.1,-0.432,-0.229,-0.04,0.084,-0.227,0.637,-0.496,-0.07
2.6,1.6,3.7,3.4,2.3,3.2,1.2,2.8,3.5,41.0,95.9,32.1,18.4,-0.32,0.612,-0.415,-0.223,0.419,0.114,-0.087,0.301
2.6,1.0,2.7,3.8,1.2,3.0,1.3,1.1,4.6,35.6,96.2,58.4,99.2,-0.093,0.502,-0.436,0.083,0.468,0.104,-0.426,0.325
2.6,4.9,1.2,1.1,4.2,1.4,2.0,2.9,2.9,58.7,88.8,82.6,95.0,-0.013,-0.202,-0.196,-0.548,-0.244,-0.31,0.386,0.529
2.6,3.8,1.6,2.1,5.0,4.4,4.9,4.9,4.1,44.1,75.2,54.3,49.8,-0.48,0.067,0.311,-0.539,0.094,0.213,-0.216,0.496
2.6,1.3,1.4,4.9,1.1,4.2,3.6,2.5,3.5,13.6,83.9,78.5,9.6,-0.116,0.669,-0.281,-0.257,-0.373,-0.324,-0.157,-0.33
