freq,WS1,WS2,W1,W2,LS1,LS2,L1,L2,S11r,S11i,S21r,S21i,S31r,S31i,S41r,S41i
2.0,1.4,3.1,3.9,1.6,5.3,3.8,38.9,37.7,-0.4796,-0.0146,-0.457,-0.1308,0.4644,0.2034,-0.5084,0.1284
2.0,1.8,3.3,4.5,1.5,15.9,10.9,25.9,11.2,-0.2594,-0.198,0.1241,-0.2834,-0.2511,0.5492,-0.629,-0.14
2.0,2.0,3.8,3.2,1.4,18.0,9.6,21.7,6.4,-0.0574,-0.164,-0.2268,-0.4532,-0.6639,0.3216,-0.353,0.1289
2.0,3.5,2.8,3.9,4.9,20.0,5.6,20.5,26.8,-0.9391,0.0496,-0.1539,-0.0415,0.1035,0.2459,-0.0246,0.0913
2.0,1.3,4.1,2.0,2.6,12.2,7.3,44.0,28.7,-0.4553,0.1005,-0.4734,-0.0356,0.4986,0.113,-0.4823,0.2228
2.0,2.5,2.6,3.2,1.5,13.1,9.0,15.1,43.9,-0.6997,0.0383,-0.2664,-0.1597,0.1868,0.5242,-0.2097,-0.2015
2.0,1.3,2.2,1.3,1.5,14.8,15.2,40.8,6.9,-0.1519,0.1151,-0.6188,-0.2129,-0.2659,0.5827,0.2184,-0.1891
2.0,1.7,2.4,3.1,2.0,19.2,16.3,5.4,21.0,-0.7675,0.2416,-0.0435,0.1377,-0.0704,0.1154,-0.1403,-0.5336
2.0,2.4,3.9,3.1,4.2,9.8,4.0,22.9,27.8,-0.3776,-0.245,-0.3532,-0.2237,-0.2181,0.7197,-0.1119,-0.1732
2.0,3.2,1.9,1.0,4.8,2.1,15.5,5.7,16.8,-0.3258,0.8009,-0.2268,-0.2188,-0.2708,-0.2349,0.0207,-0.1339
2.0,1.0,2.4,2.1,4.6,13.1,6.0,37.8,16.6,-0.2656,0.1278,-0.5701,-0.4721,-0.382,0.3993,0.1761,0.1023
